a 	a1
racing	cuộc đua
radio	sóng vô tuyến, radio
rail	đường ray
railroad	đường sắt
railway	đường sắt
rain	mưa, cơn mưa; mưa
raise	nâng lên, đưa lên, ngẩng lên
range	dãy, hàng, loại; phạm vi, trình độ
rank	hàng, dãy; sắp xếp thành hàng, dãy
rapid	nhanh, nhanh chóng
rarely	hiếm khi, ít khi
rare	hiếm, ít
rate	tỷ lệ, tốc độ
rather	thà... còn hơn, thích... hơn
raw	sống ( không chín), thô, còn nguyên chất
reach	đến, đi đến, tới
reaction	sự phản ứng; sự phản tác dụng
react	tác động trở lại, phản ứng
reader	người đọc, độc giả
reading	sự đọc
read	đọc 
ready	sẵn sàng 
realistic	hiện thực
reality	sự thật, thực tế, thực tại
realize	thực hiện, thực hành
really	thực, thực ra, thực sự
real	thực, thực tế, có thật
rear	phía sau; ở đằng sau, ở đằng sau
reasonable	có lý, hợp lý
reasonably	hợp lý
reason	/ lý do, lý lẽ
recall	gọi về, triệu hồi; nhặc lại, gợi lại
receipt	công thức; đơn thuốc
receive	nhận, lĩnh, thu
recently	gần đây, mới đây
recent	gần đây, mới đây
reception	sự nhận, sự tiếp nhận, sự đón tiếp
reckon	tính, đếm
recognition	sự công nhận, sự thừa nhận
recognize	nhận ra, nhận diện; công nhận, thừa nhận
recommend	giới thiệu, tiến cử; đề nghị, khuyên bảo
recording	sự ghi, sự thu âm
record	bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
recover	lấy lại, giành lại
red	đỏ; màu đỏ
reduce	giảm, giảm bớt
reduction	sự giảm giá, sự hạ giá
reference	sự tham khảo, hỏi ýe kiến
refer	xem, tham khảo; ám chỉ, nhắc đến
reflect	phản chiếu, phản hồi, phản ánh
reform	cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
refrigerator	tủ lạnh
refusal	sự từ chối, sự khước từ
refuse	từ chối, khước từ
regarding	về, về việc, đối với (vấn đề...)
regard	đánh giá; cái nhìn, sự chú ý 
regional	vùng, địa phương
region	vùng, miền
register	đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
regret	đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
regularly	đều đặn, thường xuyên
regular	thường xuyên, đều đặn
regulation	sự điều chỉnh, điều lệ, quy tắc
reject	không chấp nhận, loại bỏ, bác bỏ
related	có liên quan, có quan hệ với ai, cái gì
relate	kể lại, thuật lại; liên hệ, liên quan
relation	mối quan hệ, sự liên quan, liên lạc
relationship	mối quan hệ, mối liên lạc
relatively	có liên quan, có quan hệ
relative	có liên quan đến; người có họ, đại từ quan hệ
relaxed	thanh thản, thoải mái
relaxing	làm giảm, bớt căng thẳng
relax	giải trí, nghỉ ngơi
release	thả, phát hành; sự giải thoát, thoát khỏi
relevant	thích hợp, có liên quan
relief	sự giảm nhẹ,; sự trợ cấo; sự đền bù
religion	tôn giáo
religious	(thuộc) tôn giáo
rely	tin vào, tin cậy, tin tưởng vào
remaining	còn lại
remain	còn lại, vẫn còn như cũ
remains	đồ thừa, cái còn lại
remarkable	đáng chú ý, đáng để ý; khác thường
remark	phê bình, sự để ý, chú ý; nhận xét, phê bình, chú ý
remember	nhớ, nhớ lại
remind	nhắc nhở, gợi nhớ
remote	xa, xa xôi, xa cách
removal	viêc di chuyển, việc dọn nhà, dời đi
remove	dời đi, di chuyển
rented	được thuê, được mướn
rent	sự thuê mướn; cho thuê, thuê
repair	sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
repeated	được nhắc lại, được lặp lại
repeat	nhắc lại, lặp lại
replace	thay thế
reply	sự trả lời, sự hồi âm; trả lời, hồi âm
report	báo cáo, tường trình; bản báo cáo, bản tường trình
representative	điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện, tượng trưng
represent	miêu tả, hình dung; đại diện, thay mặt
reproduce	tái sản xuất
reputation	sự nổi tiếng, nổi danh
request	lời thỉnh cầu, lời đề nghị;thỉnh cầu, đề nghị
requirement	nhu cầu, sự đòi hỏi; luật lệ, thủ tục
require	đòi hỏi, yêu cầu, quy định
re-	tiền tố trước động từ tạo danh từ
rescue	giải thoát, cứu nguy; sự giải thoát, sự cứu nguy
research	sự nghiên cứu
reservation	sự hạn chế, điều kiện hạn chế
reserve	dự trữ, để dành; sự dự trữ, sự để dành…
resident	người sinh sống,khách trọ; có nhà ở, cư trú
resistance	sự chống lại, sự phản đối,sự kháng cự
resist	chống lại, phản đổi, kháng cự
resolve	kiên quyết (làm gì); giải quyết (vấn đề, khó khăn..)
resort	kế sách, phương kế
resource	tài nguyên; kế sách, thủ đoạn
respect	sự lễ phép; tôn trọng, kính trọng, khâm phục
respond	hưởng ứng, phản ứng lại, trả lời
response	sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
responsibility	trách nhiệm, sự chịu trách nhiệm
responsible	chịu trách nhiệm về, chịu trách nhiệm trước ai, gì
restaurant	nhà hàng ăn, hiệu ăn
restore	hoàn lại, trả lại; sửa chữa lại, phục hồi lại
rest	sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi
restricted	bị hạn chế, có giới hạn; vùng cấm
restriction	sự hạn chế, sự giới hạn
restrict	hạn chế, giới hạn
result	kết quả; bởi, do.. mà ra, kết quả là...
retain	giữ lại, nhớ được
retired	ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
retirement	sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
retire	rời bỏ, rút về; thôi, nghỉ việc, về hưu
return	trở lại, trở về; sự trở lại, sự trở về
reveal	bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
reverse	đảo, ngược lại; điều trái ngược, mặt trái
review	sự xem lại, sự xét lại; làm lại, xem xét lại
revise	đọc lại, xem lại, sửa lại, ôn lại
revision	sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
revolution	cuộc cách mạng
reward	sự thưởng, phần thưởng; thưởng, thưởng công
rhythm	nhịp điệu
rice	gạo, thóc, cơm; cây lúa
rich	giàu, giàu có
ride	đi, cưỡi (ngựa); sự đi, đường đi
rider	người cưỡi ngựa, người đi xe đạp
ridiculous	buồn cười, lố bịch, lố lăng
riding	môn thể thao cưỡi ngựa, sự đi xe 
rid	giải thoát, cứu
rightly	đúng, phải, có lý
right	phải, tốt; đúng; điều thiện, điều phải, tốt, bên phải
ring	chiếc nhẫn, đeo nhẫn cho ai
rise	sự lên, sự tăng lương; dậy, đứng lên
risk	sự liều, mạo hiểm; liều
rival	đối thủ, địch thủ; đối địch, cạnh tranh
river	sông
road	con đường, đường phố
rob	cướp, lấy trộm
rock	đá
role	vai (diễn), vai trò
roll	cuốn, cuộn, sự lăn tròn; lăn, cuốn, quấn, cuộn
romantic	lãng mạn
roof	mái nhà, nóc
room	phòng, buồng
root	gốc, rễ
rope	dây cáp, dây thừng, xâu, chuỗi
roughly	gồ ghề, lởm chởm
rough	gồ ghề, lởm chởm
rounded	bị làm thành tròn; phát triển đầy đủ
round	tròn, vòng quanh, xung quanh
route	ường đi, lộ trình, tuyến đường
routine	lệ thường, thủ tục; thường lệ, thông thường
row	hàng, dãy
royal	(thuộc) vua, nữ hoàng, hoàng gia
rubber	cao su
rubbish	vật vô giá trị,bỏ đi, rác rưởi
rub	cọ xát, xoa bóp, nghiền, tán
rudely	bất lịch sự, thô lỗ; thô sơ, đơn giản
rude	bất lịch sự, thô lỗ; thô sơ, đơn giản
ruined	bị hỏng, bị đổ nát, bị phá sản
ruin	làm đổ nát, làm phá sản; sự hỏng, sự đổ nát
ruler	người cai trị, người trị vì; thước kẻ
rule	quy tắc, điều lệ, luật lệ; cai trị, chỉ huy, điều khiển
rumour	tin đồn, lời đồn
runner	người chạy
running	sự chạy, cuộc chạy đua
run	chạy; sự chạy
rural	(thuộc) nông thôn, vùng nông thôn
rush	lao vào, xô đẩy; sự xông lên, sự lao vào
sack	bào tải; đóng bao, bỏ vào bao
sadly	một cách buồn bã, đáng buồn
sadness	sự buồn rầu, sự buồn bã
sad	buồn, buồn bã
safely	an toàn, chắc chắn, đáng tin
safe	an toàn, chắc chắn, đáng tin
safety	sự an toàn, sự chắc chăn
sailing	sự đi thuyền
sailor	thủy thủ
sail	đi tàu, thuyền, nhổ neo; buồm, cánh buồm
salad	sa lát (xà lách trộng dầu dấm); rau sống
salary	tiền lương
sale	việc bán hàng
salt	muối
salty	chứ vị muối, có muối, mặn
same	đều đều, đơn điệu; cũng như thế, vẫn cái đó
sample	mẫu, hàng mẫu
sand	cát
satisfaction	sự làm cho thỏa mãn; sự trả nợ, bồi thường
satisfied	cảm thấy hài lòng, vừa ý, thoả mãn
satisfying	đem lại sự thỏa mãn, làm thỏa mãn, làm vừa ý
satisfy	làm thỏa mãn, hài lòng; trả (nợ), chuộc tội
Saturday	thứ 7
sauce	nước xốt, nước chấm
save	cứu, lưu
saving	sự cứu, sự tiết kiệm
say	nói
scale	vảy (cá..)
scared	bị hoảng sợ, bị sợ hãi
scare	làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng
scene	cảnh, phong cảnh
schedule	kế hoạch làm việc; lên kế hoạch
scheme	sự sắp xếp; kế hoạch thực hiện; lược đồ, sơ đồ
school	đàn cá, bầy cá
science	khoa học, khoa học tự nhiên
scientific	(thuộc) khoa học, có tính khoa học
scientist	nhà khoa học
scissors	cái kéo
score	điểm số, bản thắng, tỷ số; đạt được
scratch	cào, làm xước da; sự cào, sự trầy xước da
scream	gào thét, kêu lên; tiếng thét, tiếng kêu to
screen	màn che, màn ảnh, màn hình; phim ảnh nói chung
screw	đinh vít, đinh ốc; bắt vít, bắt ốc
seal	hải cẩu; săn hải cẩu
search	sự tìm kiếm, sự điều tra; tìm kiếm, thăm dò
sea	biển
season	mùa
seat	ghế, chỗ ngồi
secondary	trung học, thứ yếu
second	thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì
secretary	thư ký
secret	bí mật; điều bí mật
section	mục, phần
sector	khu vực, lĩnh vực
secure	chắc chắn, đảm bảo,giữ an ninh
security	sự an toàn, sự an ninh
seed	hạt, hạt giống
seek	tìm, tìm kiếm, theo đuổi
seem	có vẻ như, dường như
see	nhìn, nhìn thấy, quan sát
selection	sự lựa chọn, sự chọc lọc
select	chọn lựa, chọn lọc
self	bản thân mình
self-	tiền tố tạo thành danh từ
sell	bán
senate	thượng nghi viện, ban giám hiệu
senator	thượng nghị sĩ
send	gửi, phái đi
senior	cho trẻ em trên 11t; lớn tuổi hơn, sinh viên năm cuối
sense	giác quan, tri giác, cảm giác
sensible	có óc xét đoán; hiểu, nhận biết được
sensitive	dễ bị thương, dễ bị hỏng; dễ bị xúc phạm
sentence	câu
separated	ly thân
separately	không cùng nhau, thành người riêng, vật riêng
separate	khác nhau, riêng biệt; làm rời, tách ra, chia tay
separation	sự chia cắt, phân ly, sự chia tay, ly thân
September	tháng 9
series	loạt, dãy, chuỗi
seriously	đứng đắn, nghiêm trang
serious	đứng đắn, nghiêm trang
servant	người hầu, đầy tớ
serve	phục vụ, phụng sự
service	sự phục vụ, sự hầu hạ
session	buổi họp, phiên họp, buổi, phiên
set	bộ, bọn, đám, lũ; đặt để, bố trí
settle	giải quyết, dàn xếp, hòa giải, đặt, bố trí
seven	bảy
seventeen	mười bảy
seventy	bảy mươi
several	vài
severe	khắt khe, gay gắt; giản dị, mộc mạc
sewing	sự khâu, sự may vá
sew	may, khâu
sex	giới, giống
sexual	giới tính, các vấn đề sinh lý
shade	bóng, bóng tối
shadow	bóng, bóng tối, bóng râm, bóng mát
shake	rung, lắc, giũ; sự rung, sự lắc, sự giũ
shallow	nông, cạn
shall	dự đoán tương lai: sẽ
shame	sự xấu hổ, thẹn thùng, sự ngượng
shaped	có hình dáng được chỉ rõ
shape	hình, hình dạng, hình thù
share	tham gia, chia sẻ; phần đóng góp, phần chia sẻ
sharply	sắc, nhọn, bén
sharp	sắc, nhọn, bén
shave	cạo (râu), bào, đẽo (gỗ)
sheep	con cừu
sheet	chăn, khăn trải giường; lá, tấm, phiến, tờ
shelf	kệ, ngăn, giá
shell	vỏ, mai; vẻ bề ngoài
shelter	sự che chở, sự ẩn náu; che chở, bảo vệ
she	nó, bà ấy, chị ấy, cô ấy...
shift	dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên
shine	chiếu sáng, tỏa sáng
shiny	sáng chói, bóng
ship	tàu, tàu thủy
shirt	áo sơ mi
shocking	gây ra căm phẫn, tồi tệ, gây kích động
shock	sự kích động, sự choáng;va mạnh, gây sốc
shoe	giày
shooting	sự bắn, sự phóng đi
shoot	chạy qua, ném, phóng, bắn; đâm ra, trồi ra
shopping	sự mua sắm
shop	cửa hàng; đi mua hầng, đi chợ
shortly	trong thời gian ngắn, sớm
short	ngắn, cụt
shot	đạn, viên đạn
shoulder	vai
should	nên
shout	hò hét, reo hò; sự la hét, sự hò reo
shower	vòi hoa sen, sự tắm vòi hoa sen
show	biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ
shut	đóng, khép, đậy; tính khép kín
shy	nhút nhát, e thẹn
sick	ốm, đau, bệnh
side	mặt, mặt phẳng
sideways	ngang, từ một bên; sang bên
sight	cảnh đẹp; sự nhìn
signal	dấu hiệu, tín hiệu; ra hiệu, báo hiệu
signature	chữ ký
significantly	đáng kể
significant	nhiều ý nghĩa, quan trọng
sign	dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
silence	sự im lặng, sự yên tĩnh
silent	im lặng, yên tĩnh
silk	tơ, chỉ, lụa
silly	ngớ ngẩn, ngu ngốc, khờ dại
silver	bạc, đồng bạc; làm bằng bạc, trắng như bạc
similarly	tương tự, giống nhau
similar	giống như, tương tự như
simple	đơn, đơn giản, dễ dàng
simply	một cách dễ dàng, giản dị
sincerely	một cách chân thành
sincere	thật thà, thẳng thắng, chân thành
since	từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy
singer	ca sĩ
singing	sự hát, tiếng hát
single	đơn, đơn độc, đơn lẻ
sing	hát, ca hát
sink	chìm, lún, đắm
sir	xưng hô lịch sự Ngài, Ông
sister	chị, em gái
site	chỗ, vị trí
sit	ngồi
situation	hoàn cảnh, địa thế, vị trí
six	sáu
sixteen	mười sáu
sixty	sáu mươi
size	cỡ
skilful	tài giỏi, khéo tay
skilled	có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề
skill	kỹ năng, kỹ sảo
skin	da, vỏ
skirt	váy, đầm
sky	trời, bầu trời
sleep	ngủ; giấc ngủ
sleeve	tay áo, ống tay
slice	lát mỏng; cắt ra thành miếng mỏng, lát mỏng
slide	trượt, chuyển động nhẹ, lướt qua
slightly	mảnh khảnh, mỏng manh, yếu ớt
slight	mỏng manh, thon, gầy
slip	trượt, tuột, trôi qua, chạy qua
slope	dốc, đường dốc, độ dốc; nghiêng, dốc
slowly	một cách chậm chạp, chậm dần
slow	chậm, chậm chạp
small	nhỏ, bé
smart	mạnh, ác liệt
smash	đập, vỡ tan ; sự đập, vỡ tàn thành mảnh
smell	ngửi; sự ngửi, khứu giác
smile	cười, mỉm cười; nụ cười, vẻ tươi cười
smoke	khói, hơi thuốc; hút thuốc, bốc khói, hơi
smoking	sự hút thuốc
smoothly	một cách êm ả, trôi chảy
smooth	nhẵn, trơn, mượt mà
snake	con rắn; người nham hiểm, xảo trá
snow	tuyết; tuyết rơi
soap	xà phòng
social	có tính xã hội
society	xã hội
sock	tất ngắn, miếng lót giày
softly	một cách mềm dẻo
soft	mềm, dẻo
software	phần mềm (m.tính)
soil	đất trồng; vết bẩn
soldier	lính, quân nhân
solid	rắn; thể rắn, chất rắn
solution	sự giải quyết, giải pháp
solve	giải, giải thích, giải quyết
somebody	người nào đó
somehow	không biết làm sao, bằng cách này hay cách khác
someone	người nào đó
some	một ít, một vài
something	một điều gì đó, một việc gì đó, một cái gì đó
sometimes	thỉnh thoảng, đôi khi
somewhat	đến mức độ nào đó, hơi, một chút
somewhere	nơi nào đó. đâu đó
song	bài hát
son	con trai
soon	sớm, chẳng bao lâu nữa
sore	đau, nhức
sorry	xin lỗi, lấy làm tiếc, lấy làm buồn
sort	thứ, hạng loại; lựa chọn, sắp xếp, phân loại
so	như thế, vì thế 
soul	tâm hồn, tâm trí, linh hồn
sound	âm thanh; nghe
soup	xúp, canh, cháo
source	nguồn
sour	chua, có vị giấm
southern	thuộc phương Nam
south	phương Nam; ở phía Nam; hướng về phía Nam
space	khoảng trống, khoảng cách
spare	thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
speaker	người nói, người diễn thuyết
speak	nói
specialist	chuyên gia, chuyên viên
specially	đặc biệt, riêng biệt
special	đặc biệt, riêng biệt
specifically	đặc trưng, riêng biệt
specific	đặc trưng, riêng biệt
speech	sự nói, khả năng nói, lời nói,cách nói,bài nói
speed	tốc độ, vận tốc
spelling	sự viết chính tả
spell	đánh vần; sự thu hút, sự quyến rũ, say mê
spend	tiêu, xài
spice	gia vị
spicy	có gia vị
spider	con nhện
spin	quay, quay tròn
spirit	tinh thần, tâm hồn, linh hồn
spiritual	(thuộc) tinh thần, linh hồn
spite	sự giận, sự hận thù; in spite of : mặc dù, bất chấp
split	chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra
spoil	cướp, cướp đọat
spoken	nói theo 1 cách nào đó
spoon	cái thìa
sport	thể thao
spot	dấu, đốm, vết
spray	máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
spread	trải, căng ra, bày ra; truyền bá
spring	mùa xuân
square	vuông, vuông vắn; dạng hình vuông, hình vuông
squeeze	ép, vắt, xiết; sự ép, sự vắt, sự xiết
stable	ổn định, bình tĩnh, vững vàng; chuồng ngưa
staff	gậy
stage	tầng, bệ
stair	bậc thang
stamp	tem; dán tem
standard	tiêu chuẩn; làm tiêu chuẩn, phù hợp với tiêu chuẩn
stand	đứng, sự đứng
stare	nhìm chằm chằm; sự nhìn chằm chằm
star	ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
start	bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành
statement	sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
state	nhà nước, quốc gia;phát biểu, tuyên bố
station	trạm, điểm, đồn
statue	tượng
status	tình trạng
stay	ở lại, lưu lại; sự ở lại, sự lưu lại
steady	vững chắc, vững vàng, kiến định
steal	ăn cắp, ăn trộm
steam	hơi nước
steel	thép, ngành thép
steep	dốc, dốc đứng
steer	lái (tàu, ô tô...)
step	bước; bước, bước đi
stick	đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
sticky	dính, nhớt
stiff	cứng, cứng rắn, kiên quyết
still	đứng yên; vẫn, vẫn còn
sting	chích, đốt; ngòi, nọc (rắn); sự châm, chích..
stir	khuấy, đảo
stock	kho sự trữ, hàng dự trữ, vốn
stomach	dạ dày
stone	đá
stop	ngừng, nghỉ, thôi; sự dừng, sự ngừng, sự đỗ lại
store	cửa hàng, kho hàng; tích trữ, cho vào kho
storm	cơn giông, bão
story	chuyện, câu chuyện
stove	bếp lò, lò sưởi
straight	thẳng, không cong
strain	sự căng thẳng, sự căng
strangely	lạ, xa lạ, chưa quen
stranger	người lạ
strange	xa lạ, chưa quen
strategy	chiến lược
stream	dòng suối
street	phố, đườmg phố
strength	sức mạnh, sức khỏe
stressed	bị căng thẳng, bị ép, bị căng
stress	sự căng thẳng; căng thẳng, ép, làm căng
stretch	căng ra, duỗi ra, kéo dài ra
strictly	một cách nghiêm khắc
strict	nghiêm khắc, chặt chẽ,, khắt khe
strike	đánh, đập, đình công;cuộc đình công
striking	nổi bật, gây ấn tượng
string	dây, sợi dây
striped	có sọc, có vằn
stripe	sọc, vằn, viền
strip	cởi, lột (quần áo); sự cởi quần áo
stroke	cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
strong	khỏe, mạnh, bền, vững, chắc chắn
structure	kết cấu, cấu trúc
struggle	đấu tranh; cuộc đấu tranh, cuộc chiến đấu
student	sinh viên
studio	xưởng phim, trường quay; phòng thu
study	sự học tập, sự nghiên cứu; học tập, nghiên cứu
stuff	chất liệu, chất
stupid	ngu ngốc, ngu đần, ngớ ngẩn
style	phong cách, kiểu, mẫu, loại
subject	chủ đề, đề tài; chủ ngữ
substance	chất liệu; bản chất; nội dung
substantially	về thực chất, về căn bản
substantial	thực tế, đáng kể, quan trọng
substitute	người, vật thay thế; thay thế
succeed	nối tiếp, kế tiếp; kế nghiệp, kế vị
successful	thành công, thắng lợi, thành đạt
success	sự thành công,, sự thành đạt
such	như thế, như vậy, như là
suck	bú, hút; hấp thụ, tiếp thu
suddenly	thình lình, đột ngột
sudden	thình lình, đột ngột
suffering	sự đau đớn, sự đau khổ
suffer	chịu đựng, chịu thiệt hại, đau khổ
sufficient	đủ, thích đáng (+ for)
sugar	đường
suggestion	sự đề nghị, sự đề xuất, sự khêu gợi
suggest	đề nghị, đề xuất; gợi
suitable	hợp, phù hợp, thích hợp với
suitcase	va li
suited	hợp, phù hợp, thích hợp với
suit	bộ com lê, trang phục; thích hợp, quen, hợp với
summary	bản tóm tắt
summer	mùa hè
sum	tổng, toàn bộ
Sunday	Chủ nhật
sun	mặt trời
superior	cao, chất lượng cao
supermarket	siêu thị
supply	sự cung cấp; cung cấp, đáp ứng, tiếp tế
supporter	vật chống đỡ; người cổ vũ, người ủng hộ
support	sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
suppose	cho rằng, tin rằng, nghĩ rằng
surely	chắc chắn
sure	chắc chắn, xác thực
surface	mặt, bề mặt
surname	họ
surprised	ngạc nhiên (+ at)
surprise	sự bất ngờ; làm ngạc nhiên, gây bất ngờ
surprising	làm ngạc nhiên, làm bất ngờ
surroundings	vùng xung quanh, môi trường xung quanh
surrounding	sự vây quanh, sự bao quanh
surround	vây quanh, bao quanh
survey	sự khảo sát; quan sát, khảo sát, nghiên cứu
survive	sống lâu hơn, tiếp tục sống, sống sót
suspect	hoài nghi; người khả nghi, người bị tình nghi
suspicion	sự nghi ngờ, sự ngờ vực
suspicious	có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
swallow	nuốt, nuốt chửng
swearing	lời thề, lời nguyền rủa, lời thề hứa
swear	chửi rủa, nguyền rủa; thề, hứa
sweater	người ra mồ hôi,, kẻ bóc lột lao động
sweat	mồ hôi; đổ mồ hôi
sweep	quét
sweet	ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
swelling	sự sưng lên, sự phồng ra
swell	phồng, sưng lên
swimming-pool	bể nước
swimming	sự bơi lội
swim	bơi lội
swing	sự đu đưa, lúc lắc;đánh đu,đu đưa,lúc lắc
switch	công tắc, roi; tắt, bật, đánh bằng gậy, roi
swollen	sưng phồng, phình căng
symbol	biểu tượng, ký hiệu
sympathetic	đồng cảm, đáng mến, dễ thương
sympathy	sự đồng cảm, sự đồng ý
system	hệ thống, chế độ
table	cái bàn
tablet	tấm, bản, thẻ phiến 
tackle	giải quyết, khắc phục, bàn thảo; đồ dùng
tail	đuôi, đoạn cuối
take	sự cầm nắm, sự lấy
talk	trò chuyện; cuộc trò chuyện, cuộc thảo luận
tall	cao
tank	thùng, két, bể
tape	băng, băng ghi âm; dải, dây
tap	mở vòi, đóng vồi; vòi, khóa
target	bia, mục tiêu, đích
task	nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
taste	vị, vị giác; nếm
taxi	xe tắc xi
tax	thuế; đánh thuế
teacher	giáo viên
teaching	sự dạy, công việc dạy học
teach	dạy
team	đội, nhóm
tear	xé, làm rắch; chỗ rách, miếng xe; nước mắt
tea	cây chè, trà, chè
technical	(thuộc) kỹ thuật, chuyên môn
technique	kỹ sảo, kỹ thuật, phương pháp kỹ thuật
technology	kỹ thuật học, công nghệ học
telephone	máy điện thoại, gọi điện thoại
television	vô tuyến truyền hình
tell	nói, nói với
temperature	nhiệt độ
temporary	tạm thời, nhất thời
tendency	xu hướng, chiều hướng, khuynh hướng
tend	trông nom, chăm sóc, giữ gìn, hầu hạ
tension	ự căng, độ căng, tình trạng căng
ten	mười
tenth	thứ mười
tent	lều, rạp
term	giới hạn, kỳ hạn, khóa, kỳ học
terrible	khủng khiếp, ghê sợ
terribly	tồi tệ, không chịu nổi
test	bài kiểm tra; kiểm tra, xét nghiệm, thử nghiệm
text	nguyên văn, bản văn, chủ đề, đề tì
thanks	sự cảm ơn, lời cảm ơn
thank	cám ơn
thank-you	cảm ơn bạn (ông bà, anh chị...)
than	hơn
that	người ấy, đó, vật ấy, đó; rằng, là
the	cái, con, người, ấy này....
theatre	rạp hát, nhà hát
theirs	của chúng, của chúng nó, của họ
their	của chúng, của chúng nó, của họ
theme	đề tài, chủ đề
themselves	tự chúng, tự họ, tự
them	chúng, chúng nó, họ
then	khi đó, lúc đó, tiếp đó
theory	lý thuyết, học thuyết
therefore	bởi vậy, cho nên, vì thế
there	ở nơi đó, tại nơi đó
they	chúng, chúng nó, họ; những cái ấy
thickly	dày; dày đặc; thành lớp dày
thickness	tính chất dày, độ dày, bề dày
thick	dày; đậm
thief	kẻ trộm, kẻ cắp
thing	cái, đồ, vật
thinking	sự suy nghĩ, ý nghĩ
think	nghĩ, suy nghĩ
thin	mỏng, mảnh
third	thứ 3
thirsty	khát, cảm thấy khát
thirteen	mười ba
thirty	ba mươi
this	cái này, điều này, việc này
thoroughly	kỹ lưỡng, thấu đáo, triệt để
thorough	cẩn thận, kỹ lưỡng
though	dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
thought	sự suy nghĩ; ý nghĩ, tư tưởng, tư duy
thousand	nghìn
thousandth	thứ một nghìn
thread	chỉ, sợi chỉ, sợi dây
threatening	sự đe dọa, sự hăm dọa
threaten	dọa, đe dọa
threat	sự đe dọa, lời đe dọa
three	ba
throat	cổ, cổ họng
throughout	khắp, suốt
through	qua, xuyên qua
throw	ném, vứt, quăng
thumb	ngón tay cái
Thursday	thứ 5
thus	như vậy, như thế, do đó
ticket	vé
tidy	sạch sẽ, ngăn nắp; làm cho sạch sẽ, gọn gàng
tie	buộc, cột, trói; dây buộc, dây trói, dây giày
tightly	chặc chẽ, sít sao
tight	kín, chặt, chật
timetable	kế hoạch làm việc, thời gian biểu
time	thời gian, thì giờ 
tin	thiếc
tiny	rất nhỏ, nhỏ xíu
tip	đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
tired	mệt, muốn ngủ, nhàm chán
tire	làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
tiring	sự mệt mỏi, sự mệt nhọc
title	đầu đề, tiêu đề; tước vị, tư cách
today	vào ngày này; hôm nay, ngày nay
toe	ngón chân (người)
together	cùng nhau, cùng với
toilet	nhà vệ sinh; sự trang điểm (rửa mặt, ăn mặc, chải tóc...)
tomato	cà chua
tomorrow	vào ngày mai; ngày mai
tone	tiếng, giọng
tongue	lưỡi
tonne	tấn
ton	tấn
tool	dụng cụ, đồ dùng
tooth	răng
too	cũng
topic	đề tài, chủ đề
top	chóp, đỉnh; đứng đầu, trên hết
totally	hoàn toàn
total	tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
to.	đến, tới, về
touch	sờ, mó, tiếp xúc; sự sờ, sự mó, sự tiếp xúc
tough	chắc, bền, dai
tourist	khách du lịch
tour	chuyến du lịch; đi du lịch
towards	theo hướng, về hướng
tower	tháp
town	thị trấn, thị xã, thành phố nhỏ
toy	đồ chơi, đồ trang trí; thể loại đồ chơi
trace	phát hiện, tìm thấy, phác họa; dấu, vết, một chút
track	phần của đĩa; đường mòn, đường đua
trade	thương mại, buôn bán; buôn bán, trao đổi
trading	sự kinh doanh, việc mua bán
traditional	theo truyền thống, theo lối cổ
tradition	truyền thống
traffic	sự đi lại, sự giao thông, sự chuyển động
training	sự dạy dỗ, sự huấn luyện, sự đào tạo
